Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,PlayerId
"In-bok Lee 이인복","Giants (KBO)",29,45.1,4.169118816465158,2.382353609408662,1.75,0.3970589349014436,0.10552764,0.06030151,0.04522613,0.30645161,1.522059250455534,0.33742331,0.71428571,3.9705893490144364,4.023159949177317,-0.05257060016288051,"kr3012467"
"Young-kuk Hwang 황영국","Eagles (KBO)",24,19.1,7.913794404686633,6.5172424509184035,1.21428571,1.3965519537682294,0.16831683,0.13861386,0.02970297,0.34117647,2.224138296741995,0.4,0.56372549,10.241380994300348,6.257186626792738,3.9841943675076106,"kr3012481"
"Yeong-u Jo 조영우","Wyverns (KBO)",25,77,4.441558881641624,2.9220782116063315,1.52,1.4025975415710392,0.11176471,0.07352941,0.0382353,0.30670927,1.571428727130516,0.31939163,0.66854991,5.961039551676916,5.606716163774891,0.3543233879020251,"kr3012483"
"Seung-jin Lee 이승진","Bears (KBO)",25,51.1,9.46753410915867,3.8571435259535325,2.45454545,0.5259741171754817,0.23684211,0.09649123,0.14035088,0.26960784,1.5000002600930404,0.3537415,0.61497326,5.610390583205138,3.5742484342671923,2.036142148937946,"kr3012489"
"Geun-wook Lee 이건욱","Wyverns (KBO)",25,122,6.713114754098361,5.975409836065574,1.12345679,0.8114754098360656,0.16789668,0.14944649,0.01845019,0.23076923,1.5245901639344261,0.26628895,0.65118913,5.680327868852459,5.335478996839679,0.34484887201278,"kr3012490"
"Min-ho Park 박민호","Wyverns (KBO)",28,52,6.230770602029053,3.288462262182,1.89473684,0.6923078446698947,0.16744186,0.08837209,0.07906977,0.22164948,1.1923079547092632,0.25324675,0.82191781,2.4230774563446316,4.342730124603402,-1.9196526682587702,"kr3012493"
"Jae-whan Bae 배재환","Dinos (KBO)",25,43,6.906977969675813,7.32558269511071,0.94285714,0.8372094508697955,0.15789474,0.16746411,-0.00956937,0.23030303,1.6976747198193076,0.265625,0.78534031,3.9767448916315287,6.259993399098691,-2.283248507467162,"kr3012500"
"Seong-moo Hong 홍성무","Dinos (KBO)",27,15,7.200000457763701,7.800000495910676,0.92307692,1.8000001144409252,0.14634146,0.15853659,-0.01219513,0.30882353,2.2666668107774615,0.33962264,0.42207792,12.600000801086477,7.315807107289648,5.284193693796829,"kr3012502"
"Min-su Kim 김민수","Wiz (KBO)",27,103.1,5.487097044278891,2.6129033544185196,2.1,1.2193548987286424,0.13070539,0.06224066,0.06846473,0.33705357,1.7516129894435262,0.36927224,0.63482467,6.0967744936432124,5.044839199018532,1.0519352946246805,"kr3012504"
"Kwon Ju 주권","Wiz (KBO)",25,70,4.757143894117932,4.114286611129022,1.15625,0.7714287395866917,0.12585034,0.10884354,0.0170068,0.20689655,1.2285716963788051,0.22018349,0.78880407,2.700000588553421,4.987235757866754,-2.2872351693133335,"kr3012508"
"Sang-kyu Lee 이상규","Twins (KBO)",23,31,5.22580805926417,6.096776069141533,0.85714286,1.1612906798364824,0.11842105,0.13815789,-0.01973684,0.34615385,2.129032913033551,0.37962963,0.71661238,6.677421409059773,6.160968969764126,0.5164524392956471,"kr3012514"
"Won-tae Choi 최원태","Heroes (KBO)",23,110,5.4818181818181815,3.0272727272727273,1.81081081,1.309090909090909,0.14016736,0.07740586,0.0627615,0.26497696,1.3818181818181818,0.28205128,0.66617862,5.072727272727272,5.388534138419412,-0.31580686569213956,"kr3012525"
"Taek-hyeong Kim 김택형","Wyverns (KBO)",23,23,8.608697793885387,7.82608890353217,1.1,1.9565222258830426,0.19298246,0.1754386,0.01754386,0.27659574,2.0000004975693324,0.31343284,0.51282051,8.608697793885387,7.037546872281615,1.5711509216037722,"kr3012526"
"Gyu-bin Lim 임규빈","Heroes (KBO)",28,37.2,4.778761868563267,2.3893809342816335,2,2.628319027709797,0.12345679,0.0617284,0.06172839,0.30666667,1.4867259146641274,0.29411765,0.89201878,4.539823775135104,7.206072975304885,-2.666249200169781,"kr3012532"
"Joung-woo Hong 홍정우","Lions (KBO)",24,30,8.700000553131138,3.6000002288818505,2.41666667,1.5000000953674377,0.20863309,0.08633094,0.12230215,0.29365079,1.6333334371778767,0.34782609,0.62790698,6.600000419616726,5.049140296512187,1.5508601231045391,"kr3012538"
"Je-seong Bae 배제성","Wiz (KBO)",23,141.1,5.285377548699201,4.8396228156763765,1.09210526,0.76415097089627,0.13408724,0.12277868,0.01130856,0.24118738,1.4575472222651076,0.26576577,0.74016563,3.948113349630728,5.143165414823084,-1.195052065192356,"kr3012544"
"Min-woo Lee 이민우","Tigers (KBO)",27,106,5.688679654728126,3.990566324958537,1.42553191,0.9339623313732746,0.13786008,0.09670782,0.04115226,0.29792148,1.6603774779969325,0.33239437,0.57022809,6.79245331907836,5.100712640143756,1.691740678934604,"kr3012546"
"Jung-soo Park 박정수","- - -",24,33,7.909092280490577,6.545455680405995,1.20833333,1.0909092800676659,0.20138889,0.16666667,0.03472222,0.21929825,1.4848487423143228,0.25925926,0.76923077,4.63636444028758,6.061261852516692,-1.4248974122291118,"kr3012548"
"Kyeong-chan Moon 문경찬","- - -",27,52,7.6153857327073515,2.596154227059324,2.93333333,1.9038464331768379,0.19555556,0.06666667,0.12888889,0.24519231,1.269230955451225,0.26143791,0.62737643,5.019231505648027,5.5542687032350155,-0.5350371975869885,"kr3012549"
"Jun-young Lee 이준영","Tigers (KBO)",27,23.2,8.36620280185404,4.943665292004661,1.69230769,0.38028194553882005,0.19469027,0.11504425,0.07964602,0.31,1.859156178189787,0.38961039,0.70422535,5.32394723754348,3.8538352617266454,1.470111975816835,"kr3012552"
"Min-woo Kim 김민우","Eagles (KBO)",24,132.2,8.412060946521928,4.884422485077248,1.72222222,1.0175880177244268,0.20910624,0.12141653,0.08768971,0.23540856,1.4547739808949212,0.28266667,0.7150838,4.341708875624221,4.902741645405431,-0.5610327697812103,"kr3012556"
"Beom-su Kim 김범수","Eagles (KBO)",24,55,9.000001248446551,6.8727282260864575,1.30952381,1.4727274770185266,0.21235521,0.16216216,0.05019305,0.25700935,1.7636366082814454,0.30666667,0.75514874,5.236364362732539,6.097625405650543,-0.8612610429180041,"kr3012557"
"Chang-mo Koo 구창모","Dinos (KBO)",23,93.1,9.835714017712347,1.735714238419826,5.66666667,0.6749999816077101,0.29310345,0.05172414,0.24137931,0.17575758,0.81428569209819,0.23076923,0.84592145,1.735714238419826,2.8836640257738066,-1.1479497873539806,"kr3012564"
"Dae-hyun Kim 김대현","Twins (KBO)",23,32.1,7.793815659012259,6.40206286276007,1.2173913,1.670103355502627,0.17721519,0.14556962,0.03164557,0.2761194,1.8556703950029187,0.31,0.70342205,5.845361744259194,6.4230238178633785,-0.5776620736041842,"kr3012572"
"Young-ha Lee 이영하","Bears (KBO)",23,132,5.795455215391126,4.500000520186051,1.28787879,0.6136364345708252,0.14049587,0.10909091,0.03140496,0.27715356,1.621212308619217,0.31590909,0.68313953,4.5681823462494755,4.727928217930806,-0.1597458716813307,"kr3012579"
"Sang-hyun Jeon 전상현","Tigers (KBO)",24,47.2,12.083917695681391,4.153846707890478,2.90909091,0.755244855980087,0.32323232,0.11111111,0.21212121,0.19886364,1.1958043553018043,0.28703704,0.70038911,2.4545457819352827,3.3060166279198926,-0.8514708459846099,"kr3012596"
"Jae-hyeon Nam 남재현","Tigers (KBO)",23,15.2,4.595745147111075,6.319149577277729,0.72727273,0.5744681433888844,0.10126582,0.13924051,-0.03797469,0.29850746,1.9787236050061576,0.32758621,0.65359477,4.021277003722191,5.622190058118049,-1.6009130543958578,"kr3012600"
"Ju-han Kim 김주한","Wyverns (KBO)",27,46,4.30434818303881,3.9130438027625543,1.1,1.369565330966894,0.1,0.09090909,0.00909091,0.3125,1.7391305790055798,0.32515337,0.57544757,7.434783225248853,6.363633188813775,1.0711500364350774,"kr3012615"
"Sung-young Choi 최성영","Dinos (KBO)",23,60.2,4.005494673403842,5.192307909967942,0.77142857,1.9285715094166644,0.0971223,0.12589928,-0.02877698,0.27916667,1.6813187517991433,0.27,0.69124424,6.082417837391018,7.290532298652961,-1.2081144612619426,"kr3012618"
"Woo-suk Go 고우석","Twins (KBO)",21,41.2,11.01600168090846,4.104000626220799,2.68421053,0.4320000659179788,0.27868852,0.10382514,0.17486338,0.22839506,1.3440002050781563,0.32110092,0.65217391,4.104000626220799,3.2038068180847095,0.9001938081360894,"kr3012630"
"Myeong-sin Kim 김명신","Bears (KBO)",26,15.1,6.456523077700051,2.347826573709109,2.75,1.760869930281832,0.15277778,0.05555556,0.09722222,0.30769231,1.565217715806073,0.33333333,0.92105263,3.521739860563664,5.994068249051754,-2.47232838848809,"kr3012636"
"Won-joon Choi 최원준","Bears (KBO)",25,123,6.878049207116675,2.5609757686072725,2.68571429,1.097561043688831,0.17669173,0.06578947,0.11090226,0.27346939,1.3739838250623144,0.31233596,0.8,3.804878284787948,4.597107745770765,-0.7922294609828175,"kr3012637"
"Chi-guk Park 박치국","Bears (KBO)",22,71.2,8.28837326949339,4.269768047920837,1.94117647,0.6279070658707113,0.20820189,0.10725552,0.10094637,0.23381295,1.381395544915565,0.28985507,0.72164948,2.888372503005272,4.213481383326263,-1.325108880320991,"kr3012638"
"Ji-guang Choi 최지광","Lions (KBO)",22,44.1,9.135340179999252,6.293234346221706,1.4516129,0.40601511911107785,0.22613065,0.15577889,0.07035176,0.20606061,1.4661657079011143,0.27118644,0.67484663,4.872181429332934,4.372949894926636,0.49923153440629786,"kr3012642"
"Ji-hoon Jang 장지훈","Lions (KBO)",23,27.2,7.807229633306447,6.831325929143141,1.14285714,2.2771086430477134,0.16438356,0.14383562,0.02054794,0.31967213,2.16867489814068,0.35164835,0.4887218,10.08433827635416,7.672433753795108,2.411904522559052,"kr3012643"
"Dong-ho Kang 강동호","Giants (KBO)",26,11,6.545455112930221,4.909091334697666,1.33333333,2.454545667348833,0.15686275,0.11764706,0.03921569,0.28888889,1.7272728770232528,0.29411765,0.67567568,7.363637002046499,7.243079916110737,0.12055708593576142,"kr3012650"
"Seung-ho Lee 이승호","Heroes (KBO)",21,118.2,5.5365169725850345,3.0337079301835805,1.825,1.1376404738188428,0.14119923,0.07736944,0.06382979,0.27966102,1.449438233309933,0.3046875,0.67948718,5.081460783057498,5.066368696674858,0.015092086382639813,"kr3012651"
"Jin-tae Park 박진태","Tigers (KBO)",25,18.2,6.750000919614645,7.714286765273879,0.875,4.339286305466557,0.13333333,0.15238095,-0.01904762,0.37647059,2.57142892175796,0.37096774,0.63451777,13.017858916399671,11.497950810315807,1.5199081060838644,"kr3012656"
"Sang-won Park 박상원","Eagles (KBO)",25,58,8.068966578643613,3.103448684093697,2.6,1.2413794736374788,0.203125,0.078125,0.125,0.26724138,1.413793289420462,0.31395349,0.68181818,4.655173026140545,4.757186339329618,-0.10201331318907236,"kr3012657"
"Won-joon Lee 이원준","Wyverns (KBO)",21,19.1,7.913794404686633,7.448277086763889,1.0625,1.3965519537682294,0.17,0.16,0.01,0.33333333,2.275862443177855,0.390625,0.67839196,7.448277086763889,6.257186626792738,1.1910904599711518,"kr3012660"
"Rhee-hyun So 소이현","Dinos (KBO)",21,12.1,5.837838439718549,10.216217269507462,0.57142857,0.7297298049648187,0.13559322,0.23728814,-0.10169492,0.18181818,1.783783967691779,0.2,0.64814815,6.567568244683368,6.921212622194626,-0.3536443775112579,"kr3012662"
"Min Kim 김민","Wiz (KBO)",21,42.2,6.750001005828531,6.117188411532106,1.10344828,1.2656251885928496,0.15458937,0.14009662,0.01449275,0.26589595,1.7578127619345132,0.2962963,0.62849162,6.5390634743963885,6.23455727081752,0.3045062035788684,"kr3012664"
"Min-gyu Kim 김민규","Bears (KBO)",21,53.1,9.112500869035804,3.712500354051624,2.45454545,0.5062500482797668,0.23376623,0.0952381,0.13852813,0.22815534,1.2937501233816264,0.29530201,0.61946903,4.893750466704413,3.6283068764209765,1.2654435902834362,"kr3012671"
"Woo-jin An 안우진","Heroes (KBO)",20,36,10.250002172258625,4.2500009006926005,2.41176471,0.7500001589457531,0.28671329,0.11888112,0.16783217,0.15873016,1.0277779955923283,0.20731707,0.76219512,3.0000006357830125,3.738029135009399,-0.7380284992263864,"kr3012678"
"Yun-su Kim 김윤수","Lions (KBO)",20,58,6.36207022082958,4.810345776724804,1.32258065,0.9310346664628654,0.15413534,0.11654135,0.03759399,0.28205128,1.6724141230907026,0.32085561,0.71428571,4.655173332314327,5.102014075221465,-0.4468407429071384,"kr3012680"
"Chae-heung Choi 최채흥","Lions (KBO)",25,146,7.582191780821918,3.143835616438356,2.41176471,0.7397260273972602,0.1993517,0.08265802,0.11669368,0.23434705,1.2465753424657535,0.28066038,0.70847851,3.5753424657534247,4.091149331445563,-0.5158068656921384,"kr3012683"
"Seung-heon Lee 이승헌","Giants (KBO)",21,36.2,8.345455124279724,2.7000001872669697,3.09090909,0.24545456247881542,0.21656051,0.07006369,0.14649682,0.23611111,1.227272812394077,0.30275229,0.48245614,4.663636687097493,3.0794431990631335,1.5841934880343596,"kr3012687"
"Jin-wook Kim 김진욱","Eagles (KBO)",20,44.2,5.843284413819443,5.037314149844348,1.16,1.8134330939439651,0.1407767,0.12135922,0.01941748,0.28409091,1.6791047166147826,0.29710145,0.75667656,5.641791847825669,6.851628236033506,-1.2098363882078376,"kr3012694"
"Young-kyu Kim 김영규","Dinos (KBO)",20,67.2,7.31527121089207,1.8620690354997995,3.92857143,1.5960591732855425,0.18581081,0.0472973,0.13851351,0.29642857,1.4334975908212744,0.33333333,0.63260341,5.453202175392271,4.904969479477703,0.5482326959145674,"kr3012700"
"Dong-hyun Son 손동현","Wiz (KBO)",19,20.1,5.311476240232537,4.42623020019378,1.2,2.21311510009689,0.13186813,0.10989011,0.02197802,0.25925926,1.5245904022889687,0.25,0.70833333,5.311476240232537,7.007610690289455,-1.6961344500569178,"kr3012706"
"Woo-young Jung 정우영","Twins (KBO)",20,75,7.080002160645191,3.4800010620120427,2.03448276,0.36000010986331477,0.19344262,0.09508197,0.09836065,0.18113208,1.0266669799805643,0.22167488,0.7398568,3.120000952148728,4.062473699188283,-0.9424727470395551,"kr3012714"
"Young-gun Cho 조영건","Heroes (KBO)",21,44.1,4.6691734680145345,5.481203636364888,0.85185185,1.6240603367007076,0.11111111,0.13043478,-0.01932367,0.26704545,1.6691731238312828,0.26896552,0.71856287,5.278196094277299,6.921822294050568,-1.6436261997732684,"kr3012720"
"Tae-in Won 원태인","Lions (KBO)",20,140,5.014285714285714,3.6,1.39285714,1.2214285714285715,0.12460064,0.08945687,0.03514377,0.28672566,1.5571428571428572,0.30555556,0.70773931,4.885714285714286,5.472949722834996,-0.58723543712071,"kr3012723"
"Hyeon-su Kim 김현수","Tigers (KBO)",19,32.1,5.288660625758319,8.628867336763573,0.61290323,0.8350516777513135,0.11377246,0.18562874,-0.07185628,0.30597015,2.2268044740035027,0.33928571,0.67335244,7.237114540511383,6.60859085736367,0.628523683147713,"kr3012725"
"Jun-won Seo 서준원","Giants (KBO)",19,107.2,5.01548035003193,2.591331514183164,1.93548387,1.3374614266751814,0.125,0.06458333,0.06041667,0.29279279,1.4953561784354459,0.30978261,0.66155989,5.182663028366328,5.336240474222247,-0.1535774458559196,"kr3012727"
"Ki-hoon Kim 김기훈","Tigers (KBO)",20,52,6.750000495177085,5.365385008986914,1.25806452,1.3846154861901714,0.16386555,0.1302521,0.03361345,0.28292683,1.711538587096184,0.3164557,0.70175439,5.365385008986914,5.919653195883409,-0.5542681868964952,"kr3012729"
"Seung-cheol Yang 양승철","Tigers (KBO)",27,28.2,4.081396254028554,7.534885392052715,0.54166667,1.255814232008786,0.09027778,0.16666667,-0.07638889,0.35042735,2.267442363349197,0.37,0.67307692,7.848838950054912,7.248365833051586,0.6004731170033262,"kr3012732"
"Yi-hwan Kim 김이환","Eagles (KBO)",19,64.2,5.7061857914162,6.123711581032019,0.93181818,1.2525773688474584,0.13141026,0.14102564,-0.00961538,0.28409091,1.8402062579363896,0.30841121,0.66123188,6.819587897058384,6.283848211663683,0.5357396853947014,"kr3012735"
"Seung-geon Baek 백승건","Wyverns (KBO)",19,29.1,8.590909463314986,9.511364048670163,0.90322581,2.1477273658287466,0.17948718,0.19871795,-0.01923077,0.30081301,2.318181918672298,0.34090909,0.68106312,7.977273073078202,8.083988881899314,-0.10671580882111176,"kr3012741"
"Myung-gi Song 송명기","Dinos (KBO)",19,87.2,7.391635195413312,4.003802397515544,1.84615385,1.231939199235552,0.19354839,0.10483871,0.08870968,0.23564955,1.334600799171848,0.26720648,0.80234834,3.695817597706656,5.055730864736579,-1.3599132670299228,"kr3012743"
"Min-seo Bae 배민서","Dinos (KBO)",20,13.1,6.075000579357202,4.725000450611158,1.28571429,2.70000025749209,0.140625,0.109375,0.03125,0.29824561,1.8000001716613934,0.29545455,0.65217391,7.425000708103248,7.640807259082832,-0.21580655097958434,"kr3012745"
"Hyo-jun Ko 고효준","Giants (KBO)",37,15.2,6.319151115936299,6.319151115936299,1,1.7234048498008088,0.14285714,0.14285714,0,0.22222222,1.5957452312970453,0.2244898,0.75630252,5.744682832669363,7.2817656115531655,-1.5370827788838026,"kr3012882"
"Kyung-eun Noh 노경은","Giants (KBO)",36,133,5.2105263157894735,2.706766917293233,1.925,1.2857142857142858,0.13414634,0.06968641,0.06445993,0.26177024,1.3458646616541354,0.27586207,0.68211068,4.87218045112782,5.184979798022966,-0.31279934689514644,"kr3012918"
"Young-myung An 안영명","Eagles (KBO)",35,45.2,6.700730859899989,3.5474457493588174,1.88888889,1.7737228746794087,0.16915423,0.08955224,0.07960199,0.28176796,1.5109491154676444,0.30434783,0.66780822,5.912409582264696,5.902668511865665,0.009741070399031493,"kr3012957"
"Eun-beom Song 송은범","Twins (KBO)",36,56,4.500000919614707,3.0535720525956944,1.47368421,0.6428572742306725,0.11336032,0.07692308,0.03643724,0.29333333,1.5178574530446434,0.32124352,0.71601942,4.500000919614707,4.622949949089408,-0.1229490294747011,"kr3012960"
"Ju-won Oh 오주원","Heroes (KBO)",35,18.1,6.381819952342627,0,13,2.9454553626196742,0.16666667,0,0.16666667,0.28205128,1.2000003329191264,0.27118644,0.73529412,5.400001498136069,6.352171288955529,-0.9521697908194602,"kr3012989"
"Sung-hwan Yun 윤성환","Lions (KBO)",38,18.2,1.9285714942581822,5.303571609210001,0.36363636,0,0.04761905,0.13095238,-0.08333333,0.27142857,1.6071429118818186,0.28787879,0.57575758,5.785714482774546,5.337235499158201,0.4484789836163454,"kr3012993"
"Woo-ram Jung 정우람","Eagles (KBO)",35,54.1,8.779141926129293,1.9877302474255003,4.41666667,0.6625767491418334,0.23043478,0.05217391,0.17826087,0.27230047,1.2883436788868985,0.34615385,0.66282421,4.803681431278292,3.4605921365969863,1.343089294681306,"kr3013029"
