Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
"Chad Bell 채드벨","Eagles (KBO)",31,2,8,5.961038961038961,16,16,0,0,0,0,0,77,346,85,54,51,10,35,1,5,3,0,61,"10297"
"Eric Jokisch 요키시","Heroes (KBO)",30,12,7,2.141962558178517,27,27,0,0,0,0,0,159.2,640,144,53,38,6,25,0,6,3,1,115,"11157"
"David Buchanan 뷰캐넌","Lions (KBO)",31,15,7,3.4522902773960653,27,27,1,0,0,0,0,174.2,728,172,71,67,16,50,0,7,2,0,121,"11176"
"Nick Kingham 킹험","Wyverns (KBO)",28,0,2,6.750000402331376,2,2,0,0,0,0,0,10.2,52,16,11,8,1,4,0,0,1,0,6,"11694"
"Drew Rucinski 루친스키","Dinos (KBO)",31,19,5,3.0491803278688523,30,30,0,0,0,0,0,183,770,173,67,62,14,57,0,11,11,0,167,"12499"
"Drew Gagnon 가뇽","Tigers (KBO)",30,11,8,4.340292552098574,28,28,0,0,0,0,0,159.2,702,162,86,77,7,64,0,9,14,0,141,"12545"
"Mike Wright 라이트","Dinos (KBO)",30,11,9,4.680761401364697,29,29,0,0,0,0,0,157.2,696,164,87,82,12,63,0,10,5,2,125,"12586"
"Tyler Wilson 윌슨","Twins (KBO)",30,10,8,4.417051001838016,25,25,0,0,0,0,0,144.2,628,161,81,71,13,39,0,8,4,1,109,"12691"
"Raúl Alcántara 알칸타라","Bears (KBO)",27,20,2,2.536912686727826,31,31,1,0,0,0,0,198.2,795,174,58,56,12,30,0,9,3,1,182,"12790"
"Warwick Saupold 서폴드","Eagles (KBO)",30,10,13,4.909090909090909,28,28,1,1,0,0,0,165,734,203,107,90,19,42,0,13,10,0,97,"13211"
"William Cuevas 쿠에바스","Wiz (KBO)",29,10,8,4.10126582278481,27,27,0,0,0,0,0,158,668,152,80,72,16,46,0,9,4,0,110,"13331"
"Adrian Sampson 샘슨","Giants (KBO)",28,9,12,5.4,25,25,0,0,0,0,0,130,590,167,87,78,14,36,0,6,8,2,87,"13339"
"Chris Flexen 플렉센","Bears (KBO)",25,8,4,3.008571494153083,21,21,0,0,0,0,0,116.2,472,97,43,39,6,30,2,2,5,0,132,"13896"
"Ben Lively 라이블리","Lions (KBO)",28,7,7,4.258928571428571,21,21,0,0,0,0,0,112,478,98,54,53,11,39,0,12,2,0,95,"14932"
"Odrisamer Despaigne 데스파이네","Wiz (KBO)",33,15,8,4.333868591106217,35,34,0,0,0,0,0,207.2,906,233,105,100,18,68,1,8,17,0,152,"16017"
"Ricardo Pinto 핀토","Wyverns (KBO)",26,6,15,6.166666666666667,30,30,0,0,0,0,0,162,766,198,121,111,19,90,3,11,11,2,112,"16318"
"Seunghwan Oh 오승환","Lions (KBO)",37,3,2,2.6433569959303043,45,0,0,0,17,4,2,47.2,201,44,14,14,2,15,0,2,1,0,39,"18719"
"Hyeon-Jong Yang 양현종","Tigers (KBO)",32,11,10,4.700193562319656,31,31,0,0,0,0,0,172.1,746,180,99,90,13,64,0,5,7,0,149,"27513"
"Jake Brigham 브리검","Heroes (KBO)",32,9,5,3.616822429906542,21,21,0,0,0,0,0,107,456,98,45,43,6,42,1,5,8,0,105,"2851"
"Casey Kelly 켈리","Twins (KBO)",30,15,7,3.323077020588714,28,28,1,1,0,0,0,173.1,705,160,67,64,16,40,0,11,4,0,134,"9174"
"Dan Straily 스트레일리","Giants (KBO)",31,15,4,2.4965754729271183,31,31,0,0,0,0,0,194.2,777,148,61,54,10,51,0,7,4,0,205,"9460"
"Jung-rak Shin 신정락","Eagles (KBO)",33,0,1,9.000003576280108,16,0,0,0,0,0,1,12,57,15,12,12,2,7,0,2,2,0,14,"kr3012165"
"Seung-hyun Lee 이승현","Lions (KBO)",28,1,2,3.478528665668339,65,0,0,0,0,3,14,54.1,226,45,22,21,11,25,1,0,2,0,52,"kr3012166"
"Jae-hak Lee 이재학","Dinos (KBO)",29,5,6,6.5514707719991,19,19,0,0,0,0,0,90.2,410,105,66,66,14,43,0,5,4,1,61,"kr3012173"
"Sung-hyun Moon 문성현","Heroes (KBO)",28,1,1,4.200000534057685,10,2,0,0,0,0,0,15,63,13,7,7,1,11,0,0,0,0,13,"kr3012178"
"Geon-tae Kim 김건태","Dinos (KBO)",28,1,1,4.885715350715714,33,0,0,0,0,1,4,35,155,29,19,19,4,25,0,2,3,0,37,"kr3012180"
"Si-young Park 박시영","Giants (KBO)",31,1,1,8.010991361720306,36,0,0,0,0,0,2,30.1,145,32,27,27,5,23,0,1,0,0,21,"kr3012194"
"Tae-yang Lee 이태양","- - -",29,2,1,5.464286737904448,53,0,0,0,0,0,5,56,250,68,35,34,8,16,2,1,3,0,45,"kr3012211"
"Jong-hun Park 박종훈","Wyverns (KBO)",28,13,11,4.805084901101222,29,28,0,0,0,0,0,157.1,691,146,90,84,14,78,1,22,5,0,134,"kr3012213"
"Chan-kyu Im 임찬규","Twins (KBO)",27,10,9,4.083521726002694,27,26,0,0,0,0,0,147.2,641,143,76,67,14,65,0,5,3,0,138,"kr3012220"
"Yun-jun Song 송윤준","Eagles (KBO)",27,0,0,4.3043488969426935,26,0,0,0,0,1,1,23,106,23,11,11,1,13,0,1,3,0,16,"kr3012226"
"Hyun-ho Lee 이현호","Eagles (KBO)",27,0,2,6.456523479271043,16,0,0,0,0,1,0,15.1,75,18,12,11,4,10,0,1,3,1,15,"kr3012233"
"Hyun Yang 양현","Heroes (KBO)",27,8,3,3.3000006294251687,58,1,0,0,2,3,10,60,246,58,23,22,4,18,0,3,1,0,33,"kr3012238"
"Dong-yeon Kang 강동연","Dinos (KBO)",27,1,2,6.000001430511816,22,0,0,0,0,1,1,24,106,27,17,16,3,11,1,1,0,0,17,"kr3012239"
"Dae-woo Kim 김대우","Lions (KBO)",31,3,7,5.098712613305108,28,9,0,0,0,0,1,77.2,350,95,49,44,9,26,0,6,1,1,37,"kr3012247"
"Hyun-jun Lim 임현준","Lions (KBO)",31,0,1,1.776316814806254,51,0,0,0,0,0,4,25.1,109,24,7,5,2,7,1,6,1,0,18,"kr3012251"
"Geon-hui Hong 홍건희","- - -",27,3,4,4.980583400458592,60,0,0,0,1,3,10,68.2,299,74,39,38,8,22,0,5,3,0,60,"kr3012262"
"Jin-yong Seo 서진용","Wyverns (KBO)",27,2,7,4.131148316020337,63,0,0,0,8,5,12,61,264,52,33,28,11,34,1,1,6,0,56,"kr3012277"
"Sung-hoon Choi 최성훈","Twins (KBO)",30,0,0,3.5100009372713683,48,0,0,0,0,0,3,33.1,145,36,13,13,1,16,2,1,1,0,24,"kr3012284"
"Myung-june Yoon 윤명준","Bears (KBO)",31,1,0,4.829269191326828,42,0,0,0,2,0,8,41,185,51,24,22,4,13,1,1,1,0,20,"kr3012289"
"Tae-hoon Kim 김태훈","Heroes (KBO)",28,6,0,4.21875075437142,53,2,0,0,0,2,8,64,281,70,34,30,1,22,1,5,3,0,40,"kr3012298"
"Hyun-hee Han 한현희","Heroes (KBO)",27,7,9,4.975430348496522,25,25,0,0,0,0,0,135.2,587,141,77,75,10,37,2,14,3,2,109,"kr3012299"
"Won-jung Kim 김원중","Giants (KBO)",27,5,4,3.9438205627973373,58,0,0,0,25,8,0,59.1,249,52,29,26,8,23,5,0,1,0,57,"kr3012308"
"Sung-min Hong 홍성민","Dinos (KBO)",30,1,0,1.0384618431859656,30,0,0,0,0,0,8,26,104,20,4,3,2,6,1,2,2,0,14,"kr3012317"
"Gi-yeong Im 임기영","Tigers (KBO)",27,9,10,5.146214201729761,25,25,0,0,0,0,0,127.2,559,152,80,73,12,33,0,9,2,1,106,"kr3012323"
"Seung-won Moon 문승원","Wyverns (KBO)",30,6,8,3.6453091790526493,25,25,1,0,0,0,0,145.2,610,136,64,59,13,45,0,6,2,0,117,"kr3012330"
"Sung-ho No 노성호","Lions (KBO)",30,2,3,4.458716688629179,45,0,0,0,0,0,10,36.1,166,28,23,18,3,29,1,2,7,0,34,"kr3012342"
"Hyeong-beom Lee 이형범","Bears (KBO)",26,1,2,7.714287625173501,27,0,0,0,1,2,1,25.2,122,30,22,22,5,16,2,2,1,0,13,"kr3012353"
"Deok-ju Ham 함덕주","Bears (KBO)",25,5,1,3.9036150857696903,36,6,0,0,10,3,2,55.1,240,55,25,24,2,21,2,0,7,0,55,"kr3012366"
"Jong-ki Park 박종기","Bears (KBO)",25,1,2,5.5384619447606855,8,5,0,0,0,0,0,26,117,30,16,16,3,14,0,0,1,0,20,"kr3012369"
"Sang-woo Cho 조상우","Heroes (KBO)",25,5,3,2.1533744347109587,53,0,0,0,33,3,0,54.1,232,50,15,13,3,18,2,2,1,0,64,"kr3012372"
"Seong-woon Jo 조성운","Heroes (KBO)",30,1,1,5.400000915527499,42,0,0,0,0,0,1,45,201,48,30,27,6,19,1,2,2,0,29,"kr3012373"
"Jin-hyung Park 박진형","Giants (KBO)",26,1,4,5.695314367069543,53,0,0,0,0,6,21,42.2,194,56,27,27,7,13,2,4,3,0,50,"kr3012378"
"Seung-min Koo 구승민","Giants (KBO)",30,5,2,3.580111251770199,57,0,0,0,0,5,22,60.1,238,40,25,24,8,26,2,0,1,0,58,"kr3012379"
"Young-chang Koh 고영창","Tigers (KBO)",31,1,1,6.8275875540610125,48,0,0,0,1,0,2,58,275,88,46,44,3,17,2,5,6,2,23,"kr3012388"
"Jun-pyo Park 박준표","Tigers (KBO)",28,7,1,1.56774224415288,50,0,0,0,4,5,13,51.2,205,41,16,9,3,8,2,0,2,0,44,"kr3012391"
"Jong-soo Kim 김종수","Eagles (KBO)",26,1,1,5.9400013595584165,54,0,0,0,1,2,7,50,228,54,34,33,6,26,1,3,4,0,43,"kr3012399"
"Jeong-bin Kim 김정빈","Wyverns (KBO)",26,1,1,5.133804196049917,57,0,0,0,1,1,12,47.1,226,37,30,27,5,45,1,8,6,0,42,"kr3012402"
"Jung-wook Son 손정욱","Dinos (KBO)",29,0,0,5.250001251697839,16,0,0,0,0,0,0,12,58,16,8,7,1,5,0,1,0,0,5,"kr3012407"
"Hyun-sik Jang 장현식","- - -",25,4,4,10.756099562500664,37,3,0,0,0,3,7,41,207,64,52,49,8,22,0,3,11,0,26,"kr3012411"
"Jung-ho Lim 임정호","Dinos (KBO)",30,2,2,4.609758670951288,69,0,0,0,0,0,26,41,175,32,23,21,3,20,0,7,0,0,38,"kr3012412"
"Sang-min Lee 이상민","Lions (KBO)",29,0,1,6.4285727423067245,17,1,0,0,0,0,1,14,69,17,10,10,4,11,1,1,2,0,13,"kr3012413"
"Jin-woo Park 박진우","Dinos (KBO)",30,2,2,5.23255999633789,43,1,0,0,0,2,9,43,194,47,29,25,2,13,1,6,0,0,22,"kr3012417"
"Se-woong Park 박세웅","Giants (KBO)",24,8,10,4.703620071881327,28,28,0,0,0,0,0,147.1,658,177,85,77,20,47,0,8,13,0,108,"kr3012427"
"Hyun-woo Jo 조현우","Wiz (KBO)",26,5,1,3.085715210584022,54,0,0,0,1,2,11,46.2,197,38,16,16,1,23,1,1,3,0,33,"kr3012431"
"Young-jun Lee 이영준","Heroes (KBO)",28,2,3,4.72500135183373,52,0,0,0,0,2,29,40,175,41,21,21,5,18,0,2,3,1,32,"kr3012432"
"Dong-wook Moon 문동욱","Eagles (KBO)",28,0,1,4.500000476837209,19,0,0,0,1,0,1,18,83,12,10,9,2,17,1,2,1,0,9,"kr3012465"
"In-bok Lee 이인복","Giants (KBO)",29,1,4,3.9705893490144364,47,1,0,0,0,1,2,45.1,199,57,22,20,2,12,1,1,2,0,21,"kr3012467"
"Young-kuk Hwang 황영국","Eagles (KBO)",24,0,0,10.241380994300348,21,0,0,0,0,1,5,19.1,101,29,22,22,3,14,1,2,3,0,17,"kr3012481"
"Yeong-u Jo 조영우","Wyverns (KBO)",25,2,4,5.961039551676916,35,7,0,0,0,0,0,77,340,96,52,51,12,25,0,2,4,0,38,"kr3012483"
"Seung-jin Lee 이승진","Bears (KBO)",25,2,4,5.610390583205138,33,5,0,0,0,2,5,51.1,228,55,33,32,3,22,1,2,0,0,54,"kr3012489"
"Geun-wook Lee 이건욱","Wyverns (KBO)",25,6,12,5.680327868852459,27,25,0,0,0,0,0,122,542,105,77,77,11,81,0,6,6,1,91,"kr3012490"
"Min-ho Park 박민호","Wyverns (KBO)",28,2,1,2.4230774563446316,57,0,0,0,4,4,11,52,215,43,16,14,4,19,0,2,0,0,36,"kr3012493"
"Jae-whan Bae 배재환","Dinos (KBO)",25,1,3,3.9767448916315287,53,0,0,0,0,5,12,43,209,38,22,19,4,35,3,9,5,2,33,"kr3012500"
"Seong-moo Hong 홍성무","Dinos (KBO)",27,0,0,12.600000801086477,11,0,0,0,1,0,0,15,82,21,22,21,3,13,0,1,1,0,12,"kr3012502"
"Min-su Kim 김민수","Wiz (KBO)",27,3,8,6.0967744936432124,33,18,0,0,0,2,0,103.1,482,151,80,70,14,30,0,4,6,0,63,"kr3012504"
"Kwon Ju 주권","Wiz (KBO)",25,6,2,2.700000588553421,77,0,0,0,0,6,31,70,294,54,25,21,6,32,1,1,0,0,37,"kr3012508"
"Sang-kyu Lee 이상규","Twins (KBO)",23,2,3,6.677421409059773,28,0,0,0,4,1,2,31,152,45,23,23,4,21,0,1,2,0,18,"kr3012514"
"Won-tae Choi 최원태","Heroes (KBO)",23,7,6,5.072727272727272,21,21,0,0,0,0,0,110,478,115,68,62,16,37,2,7,6,0,67,"kr3012525"
"Taek-hyeong Kim 김택형","Wyverns (KBO)",23,1,3,8.608697793885387,31,0,0,0,0,1,3,23,114,26,26,22,5,20,1,0,6,0,22,"kr3012526"
"Gyu-bin Lim 임규빈","Heroes (KBO)",28,2,0,4.539823775135104,33,0,0,0,0,0,1,37.2,162,46,20,19,11,10,0,2,2,0,20,"kr3012532"
"Joung-woo Hong 홍정우","Lions (KBO)",24,0,0,6.600000419616726,30,0,0,0,0,0,0,30,139,37,23,22,5,12,0,1,1,0,29,"kr3012538"
"Je-seong Bae 배제성","Wiz (KBO)",23,10,7,3.948113349630728,26,26,0,0,0,0,0,141.1,619,130,67,62,12,76,0,4,11,1,83,"kr3012544"
"Min-woo Lee 이민우","Tigers (KBO)",27,6,10,6.79245331907836,22,22,0,0,0,0,0,106,486,129,87,80,11,47,0,6,4,0,67,"kr3012546"
"Jung-soo Park 박정수","- - -",24,1,1,4.63636444028758,22,3,0,0,0,0,1,33,144,25,17,17,4,24,0,6,1,0,29,"kr3012548"
"Kyeong-chan Moon 문경찬","- - -",27,0,5,5.019231505648027,56,0,0,0,10,3,14,52,225,51,35,29,11,15,0,2,0,0,44,"kr3012549"
"Jun-young Lee 이준영","Tigers (KBO)",27,0,2,5.32394723754348,48,0,0,0,0,2,13,23.2,113,31,14,14,1,13,0,0,3,0,22,"kr3012552"
"Min-woo Kim 김민우","Eagles (KBO)",24,5,10,4.341708875624221,26,25,0,0,0,0,0,132.2,593,121,72,64,15,72,3,7,10,2,124,"kr3012556"
"Beom-su Kim 김범수","Eagles (KBO)",24,3,6,5.236364362732539,24,8,0,0,0,2,0,55,259,55,34,32,9,42,3,3,1,0,55,"kr3012557"
"Chang-mo Koo 구창모","Dinos (KBO)",23,9,0,1.735714238419826,15,14,0,0,0,0,1,93.1,348,58,20,18,7,18,0,0,1,0,102,"kr3012564"
"Dae-hyun Kim 김대현","Twins (KBO)",23,4,0,5.845361744259194,33,0,0,0,0,2,4,32.1,158,37,24,21,6,23,1,1,3,0,28,"kr3012572"
"Young-ha Lee 이영하","Bears (KBO)",23,5,11,4.5681823462494755,42,19,0,0,6,2,0,132,605,148,78,67,9,66,3,5,4,1,85,"kr3012579"
"Sang-hyun Jeon 전상현","Tigers (KBO)",24,2,2,2.4545457819352827,47,0,0,0,15,2,13,47.2,198,35,21,13,4,22,0,0,2,0,64,"kr3012596"
"Jae-hyeon Nam 남재현","Tigers (KBO)",23,0,0,4.021277003722191,8,0,0,0,0,0,0,15.2,79,20,12,7,1,11,0,1,0,0,8,"kr3012600"
"Ju-han Kim 김주한","Wyverns (KBO)",27,1,7,7.434783225248853,22,7,0,0,0,0,0,46,220,60,43,38,7,20,0,8,4,0,22,"kr3012615"
"Sung-young Choi 최성영","Dinos (KBO)",23,2,4,6.082417837391018,14,13,0,0,0,0,0,60.2,278,67,45,41,13,35,0,3,2,0,27,"kr3012618"
"Woo-suk Go 고우석","Twins (KBO)",21,0,4,4.104000626220799,40,0,0,0,16,4,1,41.2,183,37,22,19,2,19,1,2,5,0,51,"kr3012630"
"Myeong-sin Kim 김명신","Bears (KBO)",26,0,2,3.521739860563664,16,0,0,0,0,0,0,15.1,72,20,6,6,3,4,0,3,0,0,11,"kr3012636"
"Won-joon Choi 최원준","Bears (KBO)",25,10,2,3.804878284787948,42,18,0,0,0,0,0,123,532,134,52,52,15,35,0,7,2,1,94,"kr3012637"
"Chi-guk Park 박치국","Bears (KBO)",22,4,4,2.888372503005272,63,0,0,0,0,3,9,71.2,317,65,34,23,5,34,4,5,1,0,66,"kr3012638"
"Ji-guang Choi 최지광","Lions (KBO)",22,1,3,4.872181429332934,51,0,0,0,0,6,18,44.1,199,34,24,24,2,31,4,3,5,0,45,"kr3012642"
